ID,BirthDate,BirthYear,Capture Date,Last Date Alive,Last Date Status
1,1984-06-01,1984,2000-03-15,2001-02-24,Dead
2,,,2000-03-15,2008-02-21,Live
3,1997-06-01,1997,2000-03-15,2004-01-04,Dead
4,1994-06-01,1994,2000-03-15,2003-03-21,Dead
5,1996-06-01,1996,2000-03-15,2000-04-12,Dead
6,1991-06-01,1991,2000-03-15,2004-05-10,Dead
7,1997-06-01,1997,2000-03-15,2002-02-03,Dead
8,1991-06-01,1991,2000-03-15,2002-08-30,Dead
9,1990-06-01,1990,2000-03-15,2002-02-08,Dead
10,1991-06-01,1991,2000-03-15,2001-01-29,Dead
11,1994-06-01,1994,2000-03-15,2001-02-03,Dead
12,1993-06-01,1993,2000-03-15,2007-02-19,Live
13,1988-06-01,1988,2000-03-15,2001-01-07,Dead
14,,,2000-03-15,2008-04-03,Live
15,1990-06-01,1990,2000-03-15,2003-01-03,Live
16,1992-06-01,1992,2000-03-15,2002-01-04,Dead
17,1998-06-01,1998,2000-03-15,2001-01-23,Live
18,1992-06-01,1992,2000-03-15,2008-03-30,Live
19,1988-06-01,1988,2000-03-15,2007-01-19,Dead
20,1989-06-01,1989,2000-03-15,2007-08-15,Live
21,,,2000-03-16,2007-12-14,Live
22,,,2000-03-16,2007-04-23,Dead
23,1997-06-01,1997,2000-03-16,2008-02-21,Live
24,1991-06-01,1991,2000-03-16,2001-01-13,Dead
25,1984-06-01,1984,2000-03-16,2002-06-05,Dead
26,1988-06-01,1988,2000-03-16,2000-09-12,Dead
27,1987-06-01,1987,2000-03-16,2001-01-22,Dead
28,1995-06-01,1995,2000-03-16,2008-02-21,Live
29,1992-06-01,1992,2000-03-16,2005-07-27,Live
30,1993-06-01,1993,2000-03-16,2008-03-18,Dead
31,1992-06-01,1992,2000-03-16,2001-12-25,Dead
32,1991-06-01,1991,2000-03-16,2003-06-06,Dead
33,1990-06-01,1990,2000-03-16,2003-03-25,Dead
34,1996-06-01,1996,2000-03-16,2007-05-16,Dead
35,1991-06-01,1991,2000-03-16,2003-12-19,Dead
36,1984-06-01,1984,2000-03-16,2000-04-11,Dead
37,1992-06-01,1992,2000-03-16,2008-02-21,Live
38,1985-06-01,1985,2000-03-16,2000-03-20,Dead
39,1993-06-01,1993,2000-03-16,2002-02-11,Dead
40,1988-06-01,1988,2000-03-16,2001-06-21,Dead
41,1984-06-01,1984,2000-03-16,2001-12-22,Dead
42,,,2000-03-16,2003-12-27,Dead
43,1996-06-01,1996,2000-03-16,2001-01-05,Dead
44,1994-06-01,1994,2000-03-16,2003-12-01,Dead
45,1991-06-01,1991,2000-03-16,2003-06-10,Dead
46,1983-06-01,1983,2001-02-06,2001-02-11,Dead
47,1984-06-01,1984,2001-02-06,2001-03-01,Dead
48,1986-06-01,1986,2001-02-06,2002-11-17,Dead
49,1986-06-01,1986,2001-02-06,2003-02-24,Dead
50,1991-06-01,1991,2001-02-06,2006-08-10,Dead
51,1985-06-01,1985,2001-02-06,2004-06-18,Dead
52,1994-06-01,1994,2001-02-06,2008-02-21,Live
53,1984-06-01,1984,2001-02-06,2004-02-27,Live
54,1985-06-01,1985,2001-02-06,2003-06-20,Dead
55,1986-06-01,1986,2001-02-06,2003-01-18,Dead
56,1993-06-01,1993,2001-02-06,2001-12-12,Live
57,1989-06-01,1989,2001-02-06,2001-12-14,Live
58,,,2001-02-06,2001-12-14,Live
59,1992-06-01,1992,2001-02-06,2005-04-29,Live
60,1993-06-01,1993,2001-02-06,2004-08-11,Live
61,1989-06-01,1989,2001-02-06,2001-12-14,Live
62,1982-06-01,1982,2001-02-06,2001-12-10,Live
63,1994-06-01,1994,2001-02-08,2001-12-09,Live
64,1992-06-01,1992,2001-02-08,2001-12-06,Live
65,1992-06-01,1992,2001-02-08,2001-02-10,Dead
66,1985-06-01,1985,2001-02-08,2001-03-19,Dead
67,,,2001-02-08,2001-08-23,Live
68,1984-06-01,1984,2001-02-08,2001-02-14,Dead
69,1987-06-01,1987,2001-02-08,2005-06-13,Dead
70,1985-06-01,1985,2001-02-08,2001-12-12,Live
71,1992-06-01,1992,2001-02-08,2001-12-14,Live
72,1995-06-01,1995,2001-02-08,2003-02-07,Live
73,1992-06-01,1992,2001-02-08,2003-01-06,Dead
74,1989-06-01,1989,2002-02-04,2003-02-07,Live
75,1992-06-01,1992,2002-02-04,2003-02-07,Live
76,1986-06-01,1986,2002-02-04,2002-04-12,Live
77,1991-06-01,1991,2002-02-04,2007-02-20,Dead
78,1997-06-01,1997,2002-02-04,2008-03-10,Dead
79,1987-06-01,1987,2002-02-04,2004-01-17,Dead
80,1995-06-01,1995,2002-02-04,2006-04-22,Dead
81,1989-06-01,1989,2002-02-04,2005-05-16,Dead
82,1994-06-01,1994,2002-02-04,2002-03-03,Dead
83,1995-06-01,1995,2002-02-05,2008-06-13,Live
84,1996-06-01,1996,2002-02-05,2006-08-01,Live
85,1993-06-01,1993,2002-02-05,2005-01-23,Dead
86,1998-06-01,1998,2002-02-05,2002-10-09,Live
87,1990-06-01,1990,2002-02-05,2002-12-13,Live
88,2000-06-01,2000,2002-02-05,2002-12-13,Live
89,1992-06-01,1992,2002-02-05,2002-02-12,Dead
90,1990-06-01,1990,2002-02-05,2002-12-13,Live
91,1986-06-01,1986,2002-02-05,2002-12-13,Live
92,1995-06-01,1995,2002-02-05,2002-12-13,Live
93,1994-06-01,1994,2002-02-05,2002-11-06,Live
94,1990-06-01,1990,2003-02-27,2006-03-22,Dead
95,1986-06-01,1986,2003-02-27,2004-10-01,Dead
96,1997-06-01,1997,2003-02-27,2006-09-23,Live
97,2000-06-01,2000,2003-02-27,2004-02-06,Dead
98,1991-06-01,1991,2003-02-27,2008-01-30,Dead
99,1992-06-01,1992,2003-02-27,2007-07-08,Dead
100,1998-06-01,1998,2003-02-27,2007-03-31,Live
101,1985-06-01,1985,2003-02-27,2003-03-29,Live
102,2000-06-01,2000,2003-02-27,2006-02-11,Live
103,1994-06-01,1994,2003-02-27,2004-02-27,Live
104,1989-06-01,1989,2003-02-27,2004-04-01,Live
105,1985-06-01,1985,2003-02-27,2003-12-21,Dead
106,1985-06-01,1985,2003-02-27,2003-04-16,Dead
107,1986-06-01,1986,2003-02-27,2003-06-09,Dead
108,1991-06-01,1991,2003-02-27,2003-12-13,Live
109,1990-06-01,1990,2003-02-27,2004-02-27,Live
