Year,Survival_calf,Survival_prime,Survival_old,Total_Elk,Percent.female,Total_Elk_Female,Total_harvest,Inside_Elk,Outside_Elk,FemBirthPerCow,Percent.N.calves,Percent.N.prime,Percent.N.old
1995,0.161,NA,NA,20931.70207,0.577913092,12096.70465,1501,16909.73047,4021.9716,0.338,0.150362319,0.803623189,0.046014492
1996,0.146,NA,NA,20022.74967,0.613488531,12283.72729,1094.693683,16296.93413,3725.815533,0.3589,NA,NA,NA
1997,0.324,NA,NA,19175.64333,NA,NA,1904.772196,15657.0914,3518.551933,0.3814,NA,NA,NA
1998,0.33,NA,NA,17399.66013,0.533455882,9281.951049,1014,14300.87467,3098.785467,0.3644,NA,NA,NA
1999,0.263,NA,NA,16173.45213,0.541307028,8754.803313,1302.585569,13422.38527,2751.066867,0.4011,NA,NA,NA
2000,0.339,1,0.7,15315.85613,0.683877099,10474.16325,743,12834.8824,2480.973733,0.3839,NA,NA,NA
2001,0.151,0.94391,0.875,14173.346,0.528624933,7492.384081,937,11936.21267,2237.133333,0.3866,NA,NA,NA
2002,0.155,0.93023,0.51429,12642.39593,0.637590602,8060.672838,888.7194245,10662.12407,1980.271867,0.3873,NA,NA,NA
2003,0.153,0.84053,0.6,11670.36753,0.74547619,8699.98113,635,9214.541267,2455.826267,0.4133,NA,NA,NA
2004,0.159,1,0.53333,10711.652,0.733501737,7857.015344,561,7974.332133,2737.319867,0.4005,NA,NA,NA
2005,0.253,0.98246,1,10007.47493,0.749714937,7502.753442,388,6662.762933,3344.712,0.4499,NA,NA,NA
2006,0.226,0.93863,1,9380.571733,0.69580707,6527.068137,124,5658.323467,3722.248267,0.2621,NA,NA,NA
2007,0.071,0.90323,0.63297,8996.907667,0.733429992,6598.601915,111,5328.8904,3668.017267,0.4076,NA,NA,NA
2008,0.204,NA,NA,8900.106,0.780087527,6942.861683,89,4835.511867,4064.594133,0.4008,NA,NA,NA
2009,0.233,NA,NA,8176.69,0.73436402,6004.666936,134.7903226,4575.208133,3601.481867,0.3659,NA,NA,NA
2010,0.193,NA,NA,6914.8548,0.73372434,5073.597276,117.8286786,3713.606667,3201.248133,0.3795,NA,NA,NA
2011,0.124,0.86806,0.75833,6077.943333,0.703992253,4278.825022,84.87659054,3273.4694,2804.473933,0.3691,NA,NA,NA
2012,0.221,1,0.84211,5531.946533,0.812475709,4494.572183,60.91143557,2685.755733,2846.1908,0.3809,NA,NA,NA
2013,0.173,1,0.68421,5528.837467,0.744796122,4117.856705,17.97386623,2368.420733,3160.416733,0.378,NA,NA,NA
2014,0.289,1,0.64,5753.9732,0.74063644,4261.602229,20.23302151,2270.7238,3483.2494,0.4,NA,NA,NA
2015,0.222,1,0.69542,5961.061667,0.705597964,4206.112978,28.51016668,2170.472867,3790.5888,0.413,NA,NA,NA
2016,0.161,0.94425,0.71691,6267.538933,0.717054824,4494.169028,34.02826345,2102.251933,4165.287,0.409,NA,NA,NA
2017,0.171,NA,NA,7177.6444,0.724853801,5202.742827,47.8235054,1986.477333,5191.167067,0.473,NA,NA,NA
2018,0.194,NA,NA,7922.339733,0.737561827,5843.215369,54.26128497,2086.2224,5836.117333,0.367,NA,NA,NA
2019,0.212,NA,NA,7401.221267,0.751905626,5565.019911,73.57462369,2016.2698,5384.951467,0.458,NA,NA,NA
2020,NA,NA,NA,6736.920867,0.737095817,4965.756192,77.25335487,1903.846133,4833.074733,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
