"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"p[1]",0.940236030336459,0.0478015844498084,0.822116611107589,0.951275374326213,0.997901768997652,1,30534
"p[2]",0.817329397060091,0.112332161624443,0.592769566048878,0.82466418660472,0.990739386456636,1,9532
"p[3]",0.855545032253622,0.0944225831378961,0.657330092815689,0.866257498790307,0.993676413709028,1,11179
"p[4]",0.78846311923996,0.0815719911066702,0.629088616486399,0.787759334786436,0.946010882781864,1,20971
"p[5]",0.740702515224035,0.0992773613034026,0.546541021587389,0.740423335601395,0.931053413497838,1,26462
"p[6]",0.89187585772891,0.0553933085914268,0.766716542545119,0.898521865410322,0.979044189623068,1,49751
"p[7]",0.903196124895229,0.0605821369786738,0.774195218104073,0.90823077155172,0.995137015640672,1,15513
"p[8]",0.826277214280485,0.0770843721872892,0.668636370970388,0.829055759561842,0.963279909882752,1,11631
"p[9]",0.0256715312951754,0.0254115510964959,0.000631341497383402,0.0179409158878892,0.0938090336804269,1,33381
"p[10]",0.0401014988850409,0.0391165472127278,0.00103719633346663,0.0281443897926003,0.143953939003542,1,36487
"p[11]",0.666378391656796,0.0989022173024307,0.460401569686869,0.671372353339379,0.843927541856184,1,77256
"p[12]",0.857059634361219,0.0664392722907132,0.714776248415455,0.862273162020131,0.969604762978873,1,33152
"p[13]",0.935518760722162,0.0453448529747825,0.830245551702396,0.943077608398098,0.996958867036035,1,26953
"p[14]",0.948236804147158,0.0293344925831119,0.879000973146255,0.952837609116374,0.991149638372491,1,45481
"p[15]",0.959735351773827,0.0291687897229799,0.890440669653253,0.96493835319055,0.99820037597006,1,23466
"p[16]",0.85497485281701,0.0522466941244001,0.745477561888158,0.857532269423635,0.949464179367184,1,34742
"p[17]",0.929354996401478,0.0463831645392028,0.828835362152537,0.934240942991891,0.99675218363853,1,14743
"p[18]",0.948851000127473,0.0391066359773976,0.856371104343614,0.957059884966641,0.998155312117622,1,15322
"p[19]",0.891948320074064,0.0629966034389077,0.745971931861501,0.90181725624882,0.984048392348679,1,17342
"p[20]",0.875338804041523,0.0825167528935895,0.694624148249798,0.885215137516244,0.994379176206204,1,11687
"p[21]",0.870015843242871,0.0792567090770437,0.707087891567337,0.875189438713576,0.99309807364642,1,11815
"p[22]",0.88474048291798,0.0737446182413624,0.724563619166017,0.892395238246868,0.994094133701013,1,14256
"p[23]",0.948167162147941,0.043301482330009,0.838351752799115,0.959073148085386,0.9982016088295,1,29225
"p[24]",0.867488684320233,0.0891233925265261,0.675289372998388,0.878665705195918,0.994136483003526,1,12568
"p[25]",0.924956485541239,0.0570826939851796,0.785949260799855,0.936948414091419,0.996879184882894,1,31428
"p[26]",0.499106940579371,0.289113890809214,0.0247816250019241,0.498769837548025,0.975134368694853,1,150000
"phi_1[1]",0.92169917236869,0.0518453601929583,0.800005580423764,0.929787170947431,0.99518641439519,1,37514
"phi_1[2]",0.773405150014161,0.112065152888911,0.564577745311262,0.769310072329312,0.977844492326878,1,10099
"phi_1[3]",0.787764198194357,0.0994518127270708,0.59957138243811,0.784871246972097,0.975930280725175,1,12372
"phi_1[4]",0.900306308965062,0.0748380567610854,0.725935663488449,0.915442020277947,0.996166465428467,1,16931
"phi_1[5]",0.88192487902641,0.0897744000613522,0.671888960538368,0.900499334536413,0.996026767913858,1,19725
"phi_1[6]",0.944756172830192,0.0460511872820144,0.828404444143659,0.956133028626364,0.998201738407715,1,33983
"phi_1[7]",0.901896780200905,0.0620955102845581,0.768491077350011,0.907612196920293,0.99490685881018,1,16080
"phi_1[8]",0.888752099782519,0.0754714584128982,0.717960174193956,0.899787242761171,0.994732788946049,1,10283
"phi_1[9]",0.942047869806602,0.0549085324233007,0.795784211169033,0.958362783928015,0.998402892381981,1,29910
"phi_1[10]",0.931014512559622,0.064330220948786,0.761979836440279,0.949495242047326,0.998103744582132,1,40406
"phi_1[11]",0.925414515848141,0.0690381309670196,0.742554819675854,0.945498151933317,0.997958905074981,1,40355
"phi_1[12]",0.927981064990416,0.0578869231394974,0.785554160009443,0.941407285132382,0.99750048599512,1,30855
"phi_1[13]",0.910476919665541,0.0591345650041842,0.774880785837563,0.918761324240198,0.99522832248367,1,31373
"phi_1[14]",0.974711006171674,0.0223831606847414,0.916364818800063,0.9806725487676,0.999243218373732,1,36246
"phi_1[15]",0.961056502281295,0.0285386914387727,0.892726106724508,0.966399044439593,0.99830495854174,1,27687
"phi_1[16]",0.949471234741362,0.041586301605498,0.84559597002999,0.959658697225124,0.998417179735674,1,23690
"phi_1[17]",0.925875729502549,0.0474038335302863,0.823408086659933,0.930612427111677,0.996297748038084,1,15692
"phi_1[18]",0.894405331917204,0.0490248083915654,0.794126898214286,0.895556948596626,0.98535844434336,1,20906
"phi_1[19]",0.780434052892664,0.0709654617254766,0.644637595814615,0.779045071353767,0.92574209001625,1,22719
"phi_1[20]",0.680353569271563,0.0968438752916501,0.504706743340377,0.674368871855823,0.887423092268566,1,16198
"phi_1[21]",0.857893049706735,0.08856895751257,0.668187546214496,0.866137599939914,0.992172213329354,1,16561
"phi_1[22]",0.890971537405179,0.07341419408273,0.726715587554653,0.900776623154587,0.99475946169041,1,19541
