"","year","n_total","n_total_LCI","n_total_UCI","calf_cow_ratio","spike_cow_ratio","btb_cow_ratio","bull_cow_ratio","percent_cows","n_cows","n_calves","n_spikes","n_btb","n_bulls","percent_cows_old","percent_cows_yearling","percent_cows_young","yearling_num_preg","young_num_preg","old_num_preg","yearling_num_capt","young_num_capt","old_num_capt","yearling_prop_pregnant","young_prop_pregnant","old_prop_pregnant","n_cows_young","n_cows_old","expected_calves_from_young","expected_calves_from_old","expected_calves","calf_surv","prop_age13","n_age13"
"1",1995,20932,14051,30098,0.33,0.11,0.29,0.4,0.577913091613617,12097,3992,1331,3508,4839,0.06187624750499,0.129740518962076,0.808383233532934,NA,NA,NA,NA,NA,NA,NA,NA,NA,9779,749,NA,NA,NA,NA,0.01,209
"2",1996,20023,12660,32715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.104204753199269,0.159963436928702,0.735831809872029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,801
"3",1997,19176,12289,30170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0872306883867578,0.0888071466106148,0.823962165002627,2,821,60,135,1315,144,0.01,0.62,0.42,NA,NA,NA,NA,NA,NA,0.03,575
"4",1998,17400,11646,27601,0.22,0.04,0.61,0.65,0.533455882352941,9282,2042,371,5662,6033,0.0731225296442688,0.0563241106719368,0.870553359683794,3,456,33,41,674,58,0.07,0.68,0.57,8080,679,5494.4,387.03,5881.43,0.35,0.04,696
"5",1999,16173,9459,24677,0.34,0.09,0.42,0.51,0.541307028360049,8755,2977,788,3677,4465,0.0743295019157088,0.096551724137931,0.82911877394636,10,593,33,90,823,75,0.11,0.72,0.44,7259,651,5226.48,286.44,5512.92,0.54,0.03,485
"6",2000,15316,8545,24198,0.23,0.07,0.17,0.23,0.683877098511245,10474,2409,733,1781,2409,0.0956873315363881,0.122641509433962,0.78167115902965,8,32,1,58,35,5,0.14,0.91,0.2,8187,1002,7450.17,200.4,7650.57,0.31,0.04,613
"7",2001,14173,9168,26435,0.29,0.06,0.54,0.6,0.528624933119315,7492,2173,450,4046,4495,0.0854700854700855,0.139957264957265,0.77457264957265,7,11,9,71,13,13,0.1,0.85,0.69,5803,640,4932.55,441.6,5374.15,0.4,0.05,709
"8",2002,12642,10317,18399,0.14,0.07,0.36,0.43,0.637590602349413,8060,1128,564,2902,3466,0.0921348314606742,0.121348314606742,0.786516853932584,9,16,3,80,20,4,0.11,0.8,0.75,6339,743,5071.2,557.25,5628.45,0.2,0.02,253
"9",2003,11670,9421,17007,0.12,0.04,0.18,0.22,0.74547619047619,8700,1044,348,1566,1914,0.132075471698113,0.0518867924528302,0.816037735849057,0,9,4,19,13,7,0,0.69,0.57,7100,1149,4899,654.93,5553.93,0.19,0.03,350
"10",2004,10712,8692,13968,0.12,0.03,0.21,0.24,0.733501736659299,7857,943,236,1650,1886,0.117229129662522,0.0781527531083481,0.80461811722913,4,195,21,25,273,37,0.16,0.71,0.57,6322,921,4488.62,524.97,5013.59,0.19,0.08,857
