"","year","n_total","n_total_LCI","n_total_UCI","calf_cow_ratio","spike_cow_ratio","btb_cow_ratio","bull_cow_ratio","percent_cows","n_cows","n_calves","n_spikes","n_btb","n_bulls","percent_preg","expected_calves","calf_surv"
"1",1995,20932,14051,30098,0.33,0.11,0.29,0.4,0.577913091613617,12097,3992,1331,3508,4839,NA,NA,NA
"2",1996,20023,12660,32715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1997,19176,12289,30170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA
"4",1998,17400,11646,27601,0.22,0.04,0.61,0.65,0.533455882352941,9282,2042,371,5662,6033,0.64,5940.48,0.34
"5",1999,16173,9459,24677,0.34,0.09,0.42,0.51,0.541307028360049,8755,2977,788,3677,4465,0.64,5603.2,0.53
"6",2000,15316,8545,24198,0.23,0.07,0.17,0.23,0.683877098511245,10474,2409,733,1781,2409,0.84,8798.16,0.27
"7",2001,14173,9168,26435,0.29,0.06,0.54,0.6,0.528624933119315,7492,2173,450,4046,4495,0.79,5918.68,0.37
"8",2002,12642,10317,18399,0.14,0.07,0.36,0.43,0.637590602349413,8060,1128,564,2902,3466,0.83,6689.8,0.17
"9",2003,11670,9421,17007,0.12,0.04,0.18,0.22,0.74547619047619,8700,1044,348,1566,1914,0.72,6264,0.17
"10",2004,10712,8692,13968,0.12,0.03,0.21,0.24,0.733501736659299,7857,943,236,1650,1886,0.66,5185.62,0.18
"11",2005,10007,8489,12799,0.13,0.04,0.16,0.2,0.749714937286203,7502,975,300,1200,1500,0.94,7051.88,0.14
"12",2006,9381,7716,11458,0.24,0.06,0.14,0.2,0.695807070430255,6527,1567,392,914,1305,0.8,5221.6,0.3
"13",2007,8997,7674,11044,0.19,0.06,0.12,0.18,0.733429991714996,6599,1254,396,792,1188,0.75,4949.25,0.25
"14",2008,8900,7569,10984,0.11,0.02,0.14,0.17,0.780087527352298,6943,764,139,972,1180,0.7,4860.1,0.16
"15",2009,8177,7336,10508,0.22,0.04,0.11,0.15,0.73425427300398,6004,1321,240,660,901,0.72,4322.88,0.31
"16",2010,6915,5835,8753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2011,6078,4979,7696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,NA
"18",2012,5532,4436,6955,0.11,0.04,0.08,0.12,0.812475709288768,4495,494,180,360,539,0.87,3910.65,0.13
"19",2013,5529,4526,6936,0.18,0.05,0.1,0.16,0.744796122041631,4118,741,206,412,659,0.88,3623.84,0.2
"20",2014,5754,4315,7414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,NA
"21",2015,5961,5182,7116,0.26,0.09,0.06,0.15,0.70559796437659,4206,1094,379,252,631,NA,NA,NA
"22",2016,6268,5456,7654,0.23,0.07,0.09,0.16,0.717054824244178,4494,1034,315,405,719,0.81,3640.14,0.28
"23",2017,7178,6371,8424,0.21,0.1,0.07,0.17,0.724853801169591,5203,1093,520,364,885,0.8,4162.4,0.26
"24",2018,7922,7605,8825,0.19,0.08,0.09,0.17,0.737561827174862,5843,1110,467,526,993,0.92,5375.56,0.21
"25",2019,7401,5906,9136,0.15,0.05,0.13,0.18,0.751905626134301,5565,835,278,723,1002,0.5,2782.5,0.3
"26",2020,6737,6063,8084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA
"27",2021,6877,5110,9256,0.19,0.06,0.16,0.23,0.67528305917539,4644,882,279,743,1068,0.71,3297.24,0.27
"28",2022,7047,5291,9481,0.16,0.07,0.14,0.21,0.524801438633298,3698,592,259,518,777,NA,NA,NA
"29",2023,7062,6260,8475,0.13,0.06,0.1,0.16,0.549992482333484,3884,505,233,388,621,0.94,3650.96,0.14
"30",2024,NA,NA,NA,0.21,0.06,0.14,0.2,0.57691620510988,NA,NA,NA,NA,NA,0.84,NA,NA
"31",2025,NA,NA,NA,0.18,0.07,0.11,0.11,0.512870190977027,NA,NA,NA,NA,NA,NA,NA,NA
