"","Year","mean","2.5%","97.5%"
"phi[1]",2001,0.874748070701625,0.754842924712903,0.963116678549179
"phi[2]",2002,0.605523243420208,0.482123620872558,0.723562081578503
"phi[3]",2003,0.681457008604796,0.55222226798015,0.798252229774723
"phi[4]",2004,0.694817631839876,0.570236758297075,0.805353211575341
"phi[5]",2005,0.62258871435014,0.47237928119178,0.759475938118244
"phi[6]",2006,0.868026695448705,0.751538146085081,0.956134389317893
"phi[7]",2007,0.81905760276074,0.715857683719684,0.905626540083846
"phi[8]",2008,0.746365809177775,0.621804694670775,0.857761035072473
"phi[9]",2009,0.476884772008578,0.330273006399106,0.630165232946411
"phi[10]",2010,0.95362151336437,0.832949089461219,0.998876624403286
"phi[11]",2011,0.952777820707646,0.8366447294865,0.998915696666
"phi[12]",2012,0.793010600448692,0.672884409135763,0.891953607593268
"phi[13]",2013,0.877684268084534,0.777832489326596,0.952641527152449
"phi[14]",2014,0.89018868081986,0.81408415157649,0.948214190370916
"phi[15]",2015,0.886818238633812,0.815029316380334,0.94553324806078
"phi[16]",2016,0.749907134703643,0.651876227293595,0.835695510961324
"phi[17]",2017,0.826179460305143,0.743888061253698,0.89464559264782
"phi[18]",2018,0.870166483505456,0.794821240592818,0.934471581910134
"phi[19]",2019,0.666521995162333,0.570041069802993,0.758088282652983
"phi[20]",2020,0.630167877280916,0.5219566874623,0.733502062545859
"phi[21]",2021,0.697938612035976,0.579601237855962,0.802628675131307
"phi[22]",2022,0.750890519459674,0.637801183894191,0.848941917788166
"phi[23]",2023,0.831110075417684,0.708727830770388,0.930056547236556
"phi[24]",2024,0.498961115778421,0.364118037584046,0.634333507185642
