"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"p[1]",0.938043608031926,0.048831159025231,0.818978630695524,0.949671164663388,0.997668019973822,1,1591
"p[2]",0.823145706257199,0.113374714052162,0.591544343199347,0.832599753123634,0.992305914922371,1.03,426
"p[3]",0.857731425802472,0.0955705181516543,0.654204344124661,0.868403520466521,0.994103899365181,1.01,626
"p[4]",0.783788776174937,0.0814157251325733,0.6280949134387,0.781488198041342,0.941636467166561,1,1195
"p[5]",0.744144520182905,0.0999051004252349,0.549148424549561,0.744532544716322,0.932933660835707,1,1189
"p[6]",0.890479184016628,0.0543781267722216,0.768552278503735,0.896553985255405,0.976958749754634,1,2657
"p[7]",0.902699741266923,0.0605714340567992,0.774440558653957,0.90740300010566,0.996118595296938,1,897
"p[8]",0.823023412582524,0.0760132986994852,0.667063471651078,0.825579990050531,0.95961912916711,1,827
"p[9]",0.0250319628021449,0.025179252194136,0.00065663104164284,0.0171237285254802,0.0935738172960982,1.01,1589
"p[10]",0.0411550354282667,0.0400894928281313,0.000936335372124224,0.0292780159031452,0.148368062718925,1.01,1837
"p[11]",0.664850142330943,0.0988671919224615,0.459703366075379,0.669457056129809,0.841442868697822,1,4876
"p[12]",0.85562306727304,0.0669184813590379,0.715307054112196,0.861961249827889,0.970711034408466,1,1707
"p[13]",0.937429499409206,0.0450222195237943,0.833066244254888,0.945101623028578,0.997119139930855,1.01,1413
"p[14]",0.948002476465455,0.0296921229257695,0.878780268252899,0.952858787738563,0.990727786402025,1,2293
"p[15]",0.960127677138592,0.0287760907458612,0.892008818759075,0.965559984486443,0.998469599472823,1,1493
"p[16]",0.857293114927019,0.0522465118692637,0.750222622958635,0.859611451272012,0.951514655520842,1.01,1973
"p[17]",0.929793725496827,0.0468328784000073,0.82633450652437,0.936719335728061,0.996441622964633,1,765
"p[18]",0.949774029074576,0.0376817081787286,0.861566029126558,0.957681283305335,0.997923501972144,1,931
"p[19]",0.884022246250225,0.0646139076162224,0.737542514300177,0.892920754368274,0.982023774555994,1,932
"p[20]",0.891726220318597,0.0786700169191795,0.710922365851715,0.907096359888651,0.995465428561778,1.01,583
"p[21]",0.911419958285043,0.0667129086849625,0.757871429372389,0.924116386086115,0.997328415122529,1.02,808
"p[22]",0.888532661682606,0.0667820693251933,0.74596793015755,0.893676607757979,0.994343604623355,1,815
"p[23]",0.947009398350959,0.0437309797365432,0.835168038986971,0.957614477367059,0.998193088169195,1,1441
"p[24]",0.781298536203135,0.136530629515723,0.506100418676311,0.791242119382356,0.991641853282081,1.03,379
"p[25]",0.373987033390337,0.212751641236115,0.0958874100692481,0.321771728939441,0.90021309136701,1.01,525
"p[26]",0.502552700980688,0.288282307107544,0.0241502668242902,0.506987325614318,0.975513511081226,1,20301
"phi_1[1]",0.923340635287018,0.051505566852295,0.802590364638192,0.931433611869091,0.995587112850904,1,2092
"phi_1[2]",0.765368697246642,0.109606537033991,0.568547733592155,0.758877663434225,0.9738104627991,1.02,558
"phi_1[3]",0.784208101201006,0.0986323131597408,0.598579748449081,0.780649881630092,0.968750290957441,1.01,667
"phi_1[4]",0.905371783653303,0.0732456451442832,0.73371847511932,0.921893582020963,0.997440159629502,1,857
"phi_1[5]",0.879984802202886,0.0917805002839092,0.665951656191136,0.899313976731045,0.995745282750068,1,966
"phi_1[6]",0.945585119582931,0.0460272658313603,0.83147305519433,0.957190689010764,0.998293279564704,1,1627
"phi_1[7]",0.903169731923224,0.0613336004779105,0.769044499536924,0.910350612913448,0.992799741190022,1,881
"phi_1[8]",0.891821976436069,0.074544997408338,0.724876357818961,0.902153801049872,0.995559670156676,1.01,573
"phi_1[9]",0.942641691507862,0.0540331397343502,0.801498298453947,0.9581093265367,0.99859496438244,1,1416
"phi_1[10]",0.932716273839274,0.0621686676202184,0.769654128230354,0.950713279541638,0.998326138585454,1,2105
"phi_1[11]",0.925744105297243,0.067470461798063,0.748698478267352,0.943845908796378,0.9984106831973,1,2017
"phi_1[12]",0.927905321240796,0.0578860642103006,0.786026744122176,0.940956588008007,0.997789582932063,1.01,1463
"phi_1[13]",0.906091151153865,0.0594121128574157,0.770380801552782,0.91431782675711,0.992926710202792,1,1721
"phi_1[14]",0.974665563893165,0.022475191552964,0.917228995696051,0.98082710800782,0.999283114391749,1,1833
"phi_1[15]",0.960824282422365,0.0289155751486259,0.89230650748431,0.966441500020621,0.998482763984058,1,1571
"phi_1[16]",0.94836221774662,0.0419211491555439,0.844469187601336,0.95863997439536,0.998390274210279,1.01,1110
"phi_1[17]",0.924843707157599,0.0470436458069758,0.823872809595373,0.930190143823522,0.995484375633941,1,852
"phi_1[18]",0.892647369205009,0.0486288784852067,0.790352372086833,0.894341392932894,0.980905949848661,1.01,1371
"phi_1[19]",0.788890654309311,0.0731063773946294,0.645670726723962,0.7883656826809,0.932991689314371,1,1168
"phi_1[20]",0.617568951695527,0.0897530583994579,0.452698571154518,0.613535345645512,0.80823653579006,1.01,1220
"phi_1[21]",0.851538061065712,0.0874627680794331,0.666335288191066,0.857421026711822,0.99105359480088,1.01,1033
"phi_1[22]",0.890667371586546,0.0734164361399703,0.719566222759981,0.900858266114559,0.994661059932442,1,1029
"phi_1[23]",0.94923566994052,0.0446997964705738,0.832138323109583,0.961404843916318,0.998549114432663,1.01,1940
"phi_1[24]",0.565949713843536,0.134657499835286,0.34887697826519,0.548860026187983,0.879997964690122,1.01,521
"phi_1[25]",0.605147644256185,0.239612720223482,0.170257565662936,0.616937834443927,0.981343540851881,1.01,445
"phi_1[26]",0.499363436521574,0.288473572527234,0.0230693558463827,0.500778244691901,0.973419423098676,1,21000
"phi_2[1]",0.606914925597537,0.187095005023208,0.23696400823703,0.617396567546209,0.942124629923688,1,3686
"phi_2[2]",0.580899966089195,0.162925935954646,0.28891880190255,0.57431580212813,0.923162924969233,1.01,1264
"phi_2[3]",0.70548336644872,0.154281827695448,0.39940379812402,0.710927272031794,0.975697901286588,1,1623
"phi_2[4]",0.595928981763319,0.16541410591016,0.289958359627716,0.592055867795606,0.924954485502862,1,1816
"phi_2[5]",0.4929699560683,0.189098624083257,0.164766100360837,0.483883468808439,0.88654518616756,1,2141
"phi_2[6]",0.728484666063395,0.157741460055238,0.390674074110226,0.743951795077462,0.978448418896446,1,2904
"phi_2[7]",0.756378797660166,0.134294980264757,0.467789862470502,0.767778254681224,0.975879502634083,1,2280
"phi_2[8]",0.754718895931072,0.133496998777201,0.479368010005822,0.765347581605141,0.976772646673338,1,1353
"phi_2[9]",0.702213053605975,0.20850848618941,0.239851712941477,0.730631126749522,0.989873577426832,1,569
"phi_2[10]",0.839507191227669,0.135527015182699,0.491383157869566,0.874663975062977,0.995496434912787,1,1558
"phi_2[11]",0.866937551217351,0.117713454703562,0.567853966431822,0.900436320511873,0.996677292427607,1.01,2084
"phi_2[12]",0.772261373291841,0.119810409258676,0.521606185225033,0.778287296668501,0.979591919450338,1,1685
"phi_2[13]",0.900182562545639,0.0720037173435742,0.727532311004528,0.913316744969188,0.995304418972124,1,2110
"phi_2[14]",0.717749689009178,0.0993761016479951,0.51564499412713,0.720817822948265,0.90325656706303,1,3403
"phi_2[15]",0.706813014809215,0.0981151384068928,0.503083833591616,0.71135420719998,0.88384104414186,1,3365
"phi_2[16]",0.594217754907093,0.110032865942525,0.38433938715404,0.592378401369565,0.814180002378901,1,2618
"phi_2[17]",0.670818304480946,0.11009126127036,0.447198586406389,0.673508584982918,0.877984821890698,1,3098
"phi_2[18]",0.8822151771508,0.0691315908641887,0.723448179950033,0.892354045208235,0.985706789043912,1,2459
"phi_2[19]",0.592968322158108,0.0968172353398515,0.403815953760402,0.59122045549308,0.782371814912955,1,3006
