"Year","S.mu","FemBirthPerCow","Female_Elk","N.calf.female","N.kills.all","N.kills.female","Wolf.mort","Other.mort","Wolf.haz","Other.haz"
1995,0.161,0.338,10599.45,3582.6141,315.9429789,157.97148945,0.0440939171902439,0.794906082809756,0.0959844647939685,1.73036644920371
1996,0.146,0.3589,11189.0336,4015.7442,818.6650429,409.33252145,0.101931921223966,0.752068078776034,0.229662961775684,1.69448569549812
1997,0.324,0.3814,9091.9263,3467.6607,451.766326,225.883163,0.0651399264639704,0.61086007353603,0.108599797896766,1.01841196529304
1998,0.33,0.3644,8267.9511,3012.8414,377.2606004,188.6303002,0.0626087719718668,0.607391228028133,0.103600008137918,1.00506261638369
1999,0.263,0.4011,7452.2177,2989.0845,701.0963312,350.5481656,0.117276097614504,0.619723902385496,0.212529310982744,1.12307193582163
2000,0.339,0.3839,9731.1633,3735.7936,422.6050047,211.30250235,0.0565616104567447,0.604438389543255,0.0925655289344987,0.989189642667188
2001,0.151,0.3866,6555.3841,2534.3115,679.4613897,339.73069485,0.134052461526533,0.714947538473467,0.298495743790313,1.5919796983769
2002,0.155,0.3873,7171.9534,2777.6976,714.5689311,357.28446555,0.128626120262335,0.716373879737665,0.28378882323574,1.58054133882715
2003,0.153,0.4133,8064.9811,3333.2567,1344.779924,672.389962,0.201721626180186,0.645278373819814,0.447102137224657,1.43021522036505
2004,0.159,0.4005,7296.0153,2922.0542,347.4517806,173.7258903,0.0594533428914494,0.78154665710855,0.129995057780067,1.70885601898184
2005,0.253,0.4499,7114.7534,3200.9276,445.8795938,222.9397969,0.0696484971731319,0.677351502826868,0.128142586154482,1.24622320410014
2006,0.226,0.2621,6403.0681,1678.2442,1477.375177,738.6875885,0.440155007537044,0.333844992462956,0.845746063856504,0.641474215853348
2007,0.071,0.4076,6487.6019,2644.3465,520.5204223,260.26021115,0.0984213722180508,0.830578627781949,0.280228149277963,2.36484725266286
2008,0.204,0.4008,6853.8617,2747.0278,283.2570229,141.62851145,0.0515569996961807,0.744443000303819,0.102960836573987,1.48667444856393
2009,0.233,0.3659,5869.8766,2147.7879,212.2903949,106.14519745,0.0494207074404321,0.717579292559568,0.0938617679953855,1.36285505742105
2010,0.193,0.3795,4955.7686,1880.7142,562.4860658,281.2430329,0.149540548425699,0.657459451574301,0.304837590788258,1.34022749928899
2011,0.124,0.3691,4193.9484,1547.9864,115.6970633,57.84853165,0.037370180803914,0.838629819196086,0.08905167818758,1.99842203518952
2012,0.221,0.3809,4433.6608,1688.7814,154.1305906,77.0652953,0.0456336712969482,0.733366328703052,0.0884316450222369,1.42116093244215
2013,0.173,0.378,4099.8828,1549.7557,143.0019258,71.5009629,0.0461369252586069,0.780863074741393,0.0978785488270797,1.65658513565728
2014,0.289,0.4,4241.3692,1696.5477,316.5524284,158.2762142,0.0932931117704501,0.61770688822955,0.162879615994181,1.07844897487552
2015,0.222,0.413,4177.6028,1725.35,265.3086823,132.65434115,0.0768854673834295,0.70111453261657,0.14873858299198,1.35633931411788
2016,0.161,0.409,4460.1408,1824.1976,289.7416829,144.87084145,0.0794162000048679,0.759583799995132,0.172874671591314,1.65347624240636
2017,0.171,0.473,5154.9193,2438.2768,115.1599968,57.5799984,0.023615037636416,0.805384962363584,0.0503091948078596,1.71578252767162
2018,0.194,0.367,5788.9541,2124.5462,418.2641305,209.13206525,0.0984361108504018,0.707563889149598,0.200279273796008,1.4396178461228
2019,0.212,0.458,5491.4453,2515.0819,137.1835305,68.59176525,0.0272721795858815,0.760727820414119,0.0536849741796937,1.49748403013043
