Year,Method,Adult Bulls,Spikes,Total Bulls,Adult Females,Calves,Total Classified
1995,Air,600.00,228.00,828.00,2088.00,697.00,3613.00
1996,Air,463.00,156.00,619.00,1792.00,510.00,2921.00
1997,NA,NA,NA,NA,NA,NA,NA
1998,Air,883.00,61.00,944.00,1451.00,325.00,2720.00
1999,Air,921.00,195.00,1116.00,2195.00,744.00,4055.00
2000,Air,362.00,145.00,507.00,2159.00,491.00,3157.00
2001,Air,530.00,64.00,594.00,988.00,287.00,1869.00
2002,Air,915.00,184.00,1099.00,2551.00,351.00,4001.00
2003,Air,566.00,116.00,682.00,3131.00,387.00,4200.00
2004,Air,481.00,78.00,559.00,2323.00,285.00,3167.00
2005,Air,416.00,119.00,535.00,2630.00,343.00,3508.00
2006,Air,354.00,152.00,506.00,2539.00,604.00,3649.00
2007,Air,413.00,216.00,629.00,3541.00,658.00,4828.00
2008,Air,411.00,68.00,479.00,2852.00,325.00,3656.00
2009,Air,335.00,126.00,461.00,3135.00,673.00,4269.00
2010,Ground,108.00,241.00,349.00,5004.00,1467.00,6820.00
2011,Ground,1000.00,814.00,1814.00,15994.00,4911.00,22719.00
2012,Ground,468.00,568.00,1036.00,10461.00,2365.00,13862.00
2012,Air,164.00,86.00,250.00,1194.00,259.00,1700.00
2013,Ground,377.00,294.00,671.00,7709.00,2002.00,10382.00
2014,Ground,313.00,641.00,954.00,10520.00,2730.00,14204.00
2015,Ground,577.00,657.00,1234.00,10320.00,2699.00,14239.00
