Age,Parameter,Mean,Lower,Upper
2,Survival,0.999592147,0.999172021,1
3,Survival,0.998772913,0.997388002,1
4,Survival,0.997165011,0.993697704,1
5,Survival,0.994421093,0.986855147,1
6,Survival,0.990145682,0.975640602,1
7,Survival,0.983905159,0.959096428,1
8,Survival,0.975226198,0.937590627,1
9,Survival,0.963609394,0.909006962,1
10,Survival,0.9485453,0.872186493,1
11,Survival,0.929536489,0.829002502,1
12,Survival,0.906117275,0.780786884,1
13,Survival,0.877886935,0.72627759,1
14,Survival,0.844554774,0.664809297,1
15,Survival,0.805956773,0.60447517,1
16,Survival,0.762113374,0.531763622,0.992463126
17,Survival,0.713253262,0.431616022,0.994890503
18,Survival,0.659843582,0.332764476,0.986922689
19,Survival,0.602591514,0.2474483,0.957734729
20,Survival,0.542476495,0.147410536,0.937542455
2,WolfMort,0.000386033,0,0.356949401
3,WolfMort,0.001134736,0,0.309107368
4,WolfMort,0.002558699,0,0.276522422
5,WolfMort,0.004910817,0,0.251190831
6,WolfMort,0.008455797,0,0.230143119
7,WolfMort,0.013458526,0,0.212473045
8,WolfMort,0.020183723,0,0.198254282
9,WolfMort,0.028883793,0,0.188627242
10,WolfMort,0.039786817,0,0.185608394
11,WolfMort,0.053082087,0,0.190721271
12,WolfMort,0.068909866,0,0.204586975
13,WolfMort,0.087343408,0,0.227756795
14,WolfMort,0.108365812,0,0.259510032
15,WolfMort,0.131870148,0,0.293359918
16,WolfMort,0.157632806,0,0.335310446
17,WolfMort,0.185313266,0,0.392161682
18,WolfMort,0.214450383,0,0.446138654
19,WolfMort,0.244477355,0,0.489795571
20,WolfMort,0.274716601,0.011026113,0.53840709
2,OtherMort,2.18E-05,0,0.356584966
3,OtherMort,9.24E-05,0,0.308062337
4,OtherMort,0.00027629,0,0.274222348
5,OtherMort,0.00066809,0,0.246859707
6,OtherMort,0.001398521,0,0.222745737
7,OtherMort,0.002636316,0,0.200608368
8,OtherMort,0.004590079,0,0.180139391
9,OtherMort,0.007506813,0,0.161670968
10,OtherMort,0.011667883,0,0.146120822
11,OtherMort,0.017381424,0,0.134955848
12,OtherMort,0.024972858,0,0.130125551
13,OtherMort,0.034769658,0,0.13386527
14,OtherMort,0.047079413,0,0.14761067
15,OtherMort,0.062173079,0,0.169401631
16,OtherMort,0.080253819,0,0.199877529
17,OtherMort,0.101433472,0,0.241374676
18,OtherMort,0.125706035,0,0.286233146
19,OtherMort,0.152931131,0,0.329358827
20,OtherMort,0.182806903,0,0.378201613
