DOD,Month,Day,Year,LOCATION,Easting,Northing,SEX,AGE.CLASS,COD,WinterYear
2/5/00,2,5,2000,MCBRIDE LAKE,558676,4980925,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/5/00,2,5,2000,EVERTS MTN,527314,4980114,FEMALE,ADULT,PROBABLE WOLF,2000
3/1/00,3,1,2000,E OF MOM'S RIDGE,549837,4974952,UNKNOWN,UNKNOWN,DEFINITE WOLF,2000
3/8/00,3,8,2000,HELLROARING SLOPE,544257,4979351,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/19/00,3,19,2000,SW OF HELLROARING/YELL CONFLUENCE,542217,4979841,UNKNOWN,CALF,DEFINITE WOLF,2000
3/30/00,3,30,2000,WEST OF JUNCTION LAKE,547701,4976121,UNKNOWN,OLD ADULT,PROBABLE WOLF,2000
3/31/00,3,31,2000,SLOUGH CRK E OF CAMPGROUND RD,554278,4975617,MALE,ADULT,DEFINITE WOLF,2000
1/5/00,1,5,2000,SE OF YELL INSTITUTE BTWN ROAD AND LAMAR RIVER,560444,4970565,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/14/00,2,14,2000,SLOUGH CRK,553394,4975615,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
2/20/00,2,20,2000,NEAR CONFLUENCE OF LITTLE BUFFALO AND YELLOWSTONE RIVER,544544,4979165,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
3/11/00,3,11,2000,SE FACE OF BUFFALO PLATEAU,551946,4975322,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/14/00,3,14,2000,N OF BUFFALO FORD,549440,4974898,UNKNOWN,CALF,PROBABLE WOLF,2000
3/16/00,3,16,2000,E OF BUFFALO FORD,549784,4974585,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/16/00,3,16,2000,E OF BUFFALO FORD AND MOM'S RIDGE,549934,4974945,UNKNOWN,CALF,PROBABLE WOLF,2000
3/17/00,3,17,2000,1/3 MI E OF LAMAR/SLOUGH CONFLUENCE,552234,4973695,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/17/00,3,17,2000,1/3 MI E OF SLOUGH/LAMAR CONFLUENCE,552234,4973745,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/6/00,4,6,2000,N OF RD NEAR LAMAR/SB CONFLUENCE,563144,4968815,UNKNOWN,ADULT,PROBABLE WOLF,2000
4/15/00,4,15,2000,JUNCTION LAKE,548442,4975875,UNKNOWN,UNKNOWN,DEFINITE WOLF,2000
3/15/00,3,15,2000,E OS SODA BUTTE PULLOUT N SIDE OF ROAD,567494,4971265,MALE,ADULT,DEFINITE WOLF,2000
3/20/00,3,20,2000,2 FT N OF RD BY SODA BUTTE/LAMAR RIVER CONFLUENCE,563494,4968865,UNKNOWN,CALF,DEFINITE WOLF,2000
3/19/00,3,19,2000,NW OF DEN FOREST LAMAR,564893,4969880,MALE,ADULT,DEFINITE WOLF,2000
3/21/00,3,21,2000,E OF SLOUGH CRK PARKING LOT,554991,4974621,UNKNOWN,CALF,DEFINITE WOLF,2000
3/23/00,3,23,2000,W LAMAR CANYON BOWL,554432,4974917,FEMALE,OLD ADULT,DEFINITE WOLF,2000
3/22/00,3,22,2000,W LAMAR CANYON BOWL,555513,4974708,UNKNOWN,CALF,PROBABLE WOLF,2000
3/23/00,3,23,2000,W LAMAR CANYON BOWL,555544,4974715,UNKNOWN,CALF,DEFINITE WOLF,2000
4/6/00,4,6,2000,NW OF LAMAR/SODA BUTTE CONFLUENCE,563144,4968815,FEMALE,OLD ADULT,PROBABLE WOLF,2000
4/12/00,4,12,2000,NW OF PICNIC AREA IN LAMAR VALLEY,562194,4969875,FEMALE,ADULT,DEFINITE WOLF,2000
4/17/00,4,17,2000,S OF LAMAR RIVER X SODA BUTTE CONFLUENCE,564254,4967705,FEMALE,ADULT,DEFINITE WOLF,2000
2/9/00,2,9,2000,FLATS SW OF YELL INSTITUTE,559544,4971865,FEMALE,ADULT,PROBABLE WOLF,2000
4/20/00,4,20,2000,SLOUGH CRK FLATS,552379,4975197,FEMALE,ADULT,PROBABLE WOLF,2000
4/11/00,4,11,2000,NEAR TURKEY PEN,527560,4984054,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/2/00,3,2,2000,HELLROARING,542725,4981161,FEMALE,CALF,DEFINITE WOLF,2000
3/2/00,3,2,2000,AMETHYST,558710,4968527,MALE,ADULT,DEFINITE WOLF,2000
3/3/00,3,3,2000,LOWER HELLROARING SLOPE,544802,4979372,UNKNOWN,CALF,DEFINITE WOLF,2000
3/5/00,3,5,2000,PROSPECT PEAK,537985,4971906,MALE,ADULT,PROBABLE WOLF,2000
3/6/00,3,6,2000,S SLOPE FROM WRAITH FALLS PULLOVER; IN TIMBER,529935,4975486,MALE,ADULT,PROBABLE WOLF,2000
3/6/00,3,6,2000,LITTLE BUFFALO CRK,545241,4978613,FEMALE,OLD ADULT,DEFINITE WOLF,2000
3/4/00,3,4,2000,WEST HELLROARING,541517,4983634,MALE,ADULT,DEFINITE WOLF,2000
3/13/00,3,13,2000,SLIDE LAKE,519415,4985963,UNKNOWN,CALF,PROBABLE WOLF,2000
3/13/00,3,13,2000,SLOUGH CRK,562109,4980421,UNKNOWN,CALF,PROBABLE WOLF,2000
1/7/00,1,7,2000,S OF BISON PEAK,557703,4975558,MALE,ADULT,PROBABLE WOLF,2000
1/2/00,1,2,2000,SW OF SODA BUTTE CRK,566744,4969365,MALE,ADULT,PROBABLE WOLF,2000
1/15/00,1,15,2000,W OF BEAVER PONDS,521919,4983135,FEMALE,CALF,PROBABLE WOLF,2000
1/7/00,1,7,2000,SODA BUTTE CRK S OF BARONETTE,572354,4977085,FEMALE,OLD ADULT,DEFINITE WOLF,2000
1/13/00,1,13,2000,E OF BUFFALO RANCH; N OF ROAD,561044,4971065,FEMALE,OLD ADULT,PROBABLE WOLF,2000
1/27/00,1,27,2000,LAMAR - N OF ROAD B/W PICNIC AREA AND INSTITUTE,561864,4970135,UNKNOWN,CALF,PROBABLE WOLF,2000
1/25/00,1,25,2000,NEAR DRUID DEN IN LAMAR,565774,4969225,UNKNOWN,CALF,PROBABLE WOLF,2000
1/10/00,1,10,2000,AMETHYST CREEK AREA,558884,4974075,UNKNOWN,CALF,PROBABLE WOLF,2000
1/15/00,1,15,2000,W OF CONFLUENCE ON S BANK OF LAMAR RIVER,562984,4968705,UNKNOWN,CALF,PROBABLE WOLF,2000
1/26/00,1,26,2000,CONFLUENCE LAMAR X SODA BUTTE,564074,4967835,UNKNOWN,CALF,PROBABLE WOLF,2000
1/26/00,1,26,2000,AMETHYST CREEK,558408,4966810,MALE,ADULT,PROBABLE WOLF,2000
1/1/00,1,1,2000,MT NORRIS,565505,4967419,UNKNOWN,CALF,PROBABLE WOLF,2000
1/1/00,1,1,2000,WEST OF LOST LAKE,542535,4972050,MALE,ADULT,PROBABLE WOLF,2000
1/18/00,1,18,2000,BLACKTAIL DEER CRK AREA,532766,4980143,UNKNOWN,CALF,PROBABLE WOLF,2000
1/19/00,1,19,2000,HEAD OF AMETHYST CRK,556046,4965885,MALE,ADULT,PROBABLE WOLF,2000
1/20/00,1,20,2000,"BUFFALO FORK, N OF SLOUGH CREEK",554211,4979401,MALE,ADULT,PROBABLE WOLF,2000
1/22/00,1,22,2000,LOST LAKE,545364,4968830,UNKNOWN,UNKNOWN,PROBABLE WOLF,2000
3/14/00,3,14,2000,BLACKTAIL DEER CRK,532759,4981710,UNKNOWN,CALF,PROBABLE WOLF,2000
3/15/00,3,15,2000,GEODE CRK,537506,4981488,UNKNOWN,CALF,DEFINITE WOLF,2000
3/16/00,3,16,2000,MT EVERTS,528772,4980708,UNKNOWN,CALF,DEFINITE WOLF,2000
2/2/00,2,2,2000,E OF JUNCTION BUTTE,549014,4974715,UNKNOWN,CALF,PROBABLE WOLF,2000
2/10/00,2,10,2000,BETWN AMETHYST & JASPER CRK,559834,4971715,UNKNOWN,CALF,PROBABLE WOLF,2000
2/4/00,2,4,2000,N OF JASPER BENCH,557344,4973135,FEMALE,OLD ADULT,DEFINITE WOLF,2000
2/12/00,2,12,2000,S AT DOROTHY'S KNOLL,558634,4973215,FEMALE,ADULT,DEFINITE WOLF,2000
2/13/00,2,13,2000,ON RIVERBANK BISONS FLATS; S OF DOROTHY'S KNOLL,558264,4972615,FEMALE,OLD ADULT,DEFINITE WOLF,2000
2/14/00,2,14,2000,CONFLUENCE LAMAR R X SODA BUTTE CRK,564654,4969015,FEMALE,ADULT,DEFINITE WOLF,2000
2/15/00,2,15,2000,2 KM E OF LAMAR CANYON,558654,4973045,FEMALE,OLD ADULT,PROBABLE WOLF,2000
2/15/00,2,15,2000,ABOUT 2 KM E OF LAMAR CANYON,558794,4973165,UNKNOWN,CALF,PROBABLE WOLF,2000
2/26/00,2,26,2000,NE OF INSTITUTE; LAMAR,561594,4971705,UNKNOWN,CALF,PROBABLE WOLF,2000
2/26/00,2,26,2000,NE OF LAMAR RANGER STATION,561894,4971965,UNKNOWN,CALF,PROBABLE WOLF,2000
3/1/00,3,1,2000,NNW AT YELL INSTITUTE; LAMAR,559464,4973795,UNKNOWN,YEARLING,DEFINITE WOLF,2000
3/19/00,3,19,2000,.5 MI W OF RATTLESNAKE CRK,526868,4984506,FEMALE,ADULT,PROBABLE WOLF,2000
3/21/00,3,21,2000,E SIDE OF LAVA CRK,529126,4972307,MALE,ADULT,PROBABLE WOLF,2000
3/21/00,3,21,2000,HELLROARING X YELL RIVER,541460,4981281,FEMALE,ADULT,PROBABLE WOLF,2000
3/22/00,3,22,2000,HELLROARING,542105,4980789,UNKNOWN,CALF,PROBABLE WOLF,2000
3/22/00,3,22,2000,W LAMAR CANYON BOWL N OF RD,555853,4974535,FEMALE,OLD ADULT,PROBABLE WOLF,2000
3/16/00,3,16,2000,MT EVERTS,528792,4980616,MALE,ADULT,PROBABLE WOLF,2000
3/18/00,3,18,2000,SLIDE LAKE,518888,4985927,UNKNOWN,CALF,PROBABLE WOLF,2000
