Cow_category,Cow age,Year,Wolf.mort,Wolf.se,Other.mort,Other.se,Survival,Survival.se,N
Prime,<14,2000,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,50
Prime,<14,2001,0.05609,0.03872,0.00000,0.00000,0.94391,0.03872,54
Prime,<14,2002,0.04708,0.03250,0.02269,0.02243,0.93023,0.03885,55
Prime,<14,2003,0.13447,0.05646,0.02500,0.02469,0.84053,0.06024,40
Prime,<14,2004,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,39
Prime,<14,2005,0.01754,0.01739,0.00000,0.00000,0.98246,0.01739,60
Prime,<14,2006,0.06137,0.03437,0.00000,0.00000,0.93863,0.03437,52
Prime,<14,2007,0.09677,0.05310,0.00000,0.00000,0.90323,0.05310,35
Prime,<14,2011,0.09623,0.05332,0.03571,0.03507,0.86806,0.06187,40
Prime,<14,2012,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,49
Prime,<14,2013,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,61
Prime,<14,2014,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,72
Prime,<14,2015,0.00000,0.00000,0.00000,0.00000,1.00000,0.00000,83
Prime,<14,2016,0.02817,0.01964,0.02758,0.01923,0.94425,0.02709,77
Old,>14,2000,0.20000,0.12649,0.10000,0.09487,0.70000,0.14491,10
Old,>14,2001,0.12500,0.11693,0.00000,0.00000,0.87500,0.11693,12
Old,>14,2002,0.20000,0.12649,0.28571,0.14175,0.51429,0.15705,15
Old,>14,2003,0.20000,0.12649,0.20000,0.12649,0.60000,0.15492,10
Old,>14,2004,0.46667,0.19475,0.00000,0.00000,0.53333,0.19475,7
Old,>14,2005,0.00000,0.00000,0.26531,0.16032,1.00000,0.16032,8
Old,>14,2006,0.00000,0.00000,0.10000,0.09487,1.00000,0.09487,10
Old,>14,2007,0.20879,0.13754,0.15824,0.14418,0.63297,0.17928,16
Old,>14,2011,0.24167,0.10504,0.00000,0.00000,0.75833,0.10504,19
Old,>14,2012,0.15789,0.08365,0.00000,0.00000,0.84211,0.08365,19
Old,>14,2013,0.26316,0.10102,0.05263,0.05123,0.68421,0.10664,19
Old,>14,2014,0.18667,0.09725,0.17333,0.09121,0.64000,0.11685,20
Old,>14,2015,0.10999,0.07342,0.19458,0.08748,0.69542,0.10403,25
Old,>14,2016,0.17279,0.09095,0.11029,0.07397,0.71691,0.10698,21
