Age,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021
1,195,175,169,57,126,91,131,108,33,44,26,19,0,5,0,10,8,5,2,2,3,3,4,5,7,7,6
2,285,94,174,51,80,45,57,54,53,27,29,17,7,5,7,9,7,5,1,2,2,3,4,4,6,6,6
3,190,118,234,157,120,49,71,82,45,58,32,11,12,9,15,12,9,6,2,2,3,3,5,5,7,8,7
4,190,129,226,116,173,63,47,70,53,52,41,8,5,9,15,11,8,6,2,2,3,3,5,5,7,7,7
5,190,105,208,106,142,94,72,63,45,38,26,11,7,7,13,11,8,6,2,2,3,3,4,5,7,7,7
6,75,60,198,116,122,50,101,58,25,44,14,3,7,5,9,8,6,4,1,1,2,2,3,4,5,5,5
7,75,43,136,96,110,57,85,95,37,16,8,17,10,4,13,9,6,4,1,1,2,2,3,4,5,6,5
8,75,74,51,54,110,79,66,73,56,28,15,3,0,4,7,7,5,3,1,1,2,2,3,3,4,4,4
9,35,35,101,35,53,38,72,64,50,52,21,3,7,4,11,6,5,3,1,1,2,2,3,3,4,4,4
10,35,35,69,42,39,31,67,49,51,30,37,8,0,11,4,6,4,3,1,1,1,2,2,3,4,4,4
11,35,46,77,34,63,21,33,47,45,41,25,0,0,2,9,5,3,2,1,1,1,1,2,2,3,3,3
12,15,33,53,35,36,31,21,28,43,33,32,3,15,0,2,5,3,2,1,1,1,1,2,2,3,3,3
13,15,33,41,39,34,22,33,17,16,34,15,0,10,5,4,4,3,2,1,1,1,1,2,2,3,3,3
14,15,26,49,29,27,24,25,33,20,20,19,0,5,2,7,3,2,2,1,1,1,1,1,2,2,2,2
15,13,27,33,20,24,13,24,27,19,8,25,8,10,4,9,4,3,2,1,1,1,1,2,2,3,3,3
16,13,31,30,12,18,14,17,12,16,13,8,3,5,0,4,2,2,1,0,0,1,1,1,1,1,2,1
17,13,17,29,5,19,7,4,4,12,16,7,0,2,7,2,2,1,1,0,0,0,1,1,1,1,1,1
18,13,5,12,7,5,8,5,5,8,6,3,8,2,4,2,2,1,1,0,0,0,1,1,1,1,1,1
19,13,5,7,1,4,4,1,0,6,3,4,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0
20,13,3,6,0,0,1,4,1,3,0,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
