Year,Population,Total_Harvest,Female_Elk_PreHunt,Lower_CI_Prehunt,Upper_CI_Prehunt,Female_Elk_PostHunt,Lower_CI_PostHunt,Upper_CI_PostHunt
1995,Total,1501,12096.70465,8120.25685,17394.05713,10596,6619,15893
1996,Total,1095,12283.72729,7766.734132,20070.32331,11189,6672,18976
1997,Total,1905,10996.6985,7047.328266,17301.68515,9092,5143,15397
1998,Total,1014,9281.951049,6212.613869,14723.94248,8268,5199,13710
1999,Total,1303,8754.803313,5120.169051,13357.9824,7452,3818,12055
2000,Total,743,10474.16325,5843.678516,16548.629,9731,5101,15806
2001,Total,937,7492.384081,4846.420171,13974.23975,6555,3909,13037
2002,Total,889,8060.672838,6578.022244,11731.07731,7172,5689,10842
2003,Total,635,8699.98113,7023.093917,12678.31357,8065,6388,12043
2004,Total,561,7857.015344,6375.578757,10245.60727,7296,5815,9685
2005,Total,388,7502.753442,6364.31136,9595.638968,7115,5976,9208
2006,Total,124,6527.068137,5368.82996,7972.574808,6403,5245,7849
2007,Total,111,6598.601915,5628.341756,8100.0375,6488,5517,7989
2008,Total,89,6942.861683,5904.482495,8568.539907,6854,5815,8480
2009,Total,135,6004.666936,5387.294448,7716.733837,5870,5253,7582
2010,Total,118,5073.597276,4281.281525,6422.28915,4956,4163,6304
2011,Total,85,4278.825022,3505.177429,5417.99478,4194,3420,5333
2012,Total,61,4494.572183,3604.121935,5650.829494,4434,3543,5590
2013,Total,18,4117.856705,3370.928628,5165.924522,4100,3353,5148
2014,Total,20,4261.602229,3195.84624,5491.078569,4241,3176,5471
2015,Total,29,4206.112978,3656.408651,5021.035115,4178,3628,4993
2016,Total,34,4494.169028,3912.251121,5488.337625,4460,3878,5454
2017,Total,48,5202.742827,4618.043567,6106.240906,5155,4570,6058
2018,Total,54,5843.215369,5609.157696,6508.983125,5789,5555,6455
2019,Total,74,5565.019911,4440.754628,6869.4098,5491,4367,6796
2020,Total,77,4965.756192,4469.01194,5958.701014,4889,4392,5881
1995,Inside,1501,9772.354612,6039.119568,14395.88735,,,
1996,Inside,1095,9997.982187,5543.911811,16525.55591,,,
1997,Inside,1905,8978.906758,5181.307052,14764.65845,,,
1998,Inside,1014,7628.885714,4630.35705,12597.04054,,,
1999,Inside,1303,7265.631482,4090.630148,11089.89242,,,
2000,Inside,743,8777.482135,4557.955377,15087.04686,,,
2001,Inside,937,6309.779623,3767.483467,13322.10161,,,
2002,Inside,889,6798.070106,5475.628093,10650.99883,,,
2003,Inside,635,6869.22112,5189.986601,10865.31548,,,
2004,Inside,561,5849.186468,4588.053363,8206.454105,,,
2005,Inside,388,4995.172895,3881.27423,7108.066063,,,
2006,Inside,124,3937.101475,2770.651569,5384.155111,,,
2007,Inside,111,3908.368042,3270.364333,5267.512536,,,
2008,Inside,89,3772.122496,2752.909382,5418.507467,,,
2009,Inside,135,3359.868236,2794.989459,5092.924631,,,
2010,Inside,118,2724.763601,1929.695015,4080.259399,,,
2011,Inside,85,2304.497099,1809.964083,3219.374174,,,
2012,Inside,61,2182.111294,1344.647299,3294.609313,,,
2013,Inside,18,1763.990578,1100.063872,2702.138951,,,
2014,Inside,20,1681.780792,1064.294565,2717.450648,,,
2015,Inside,29,1531.481236,1011.121883,2352.463613,,,
2016,Inside,34,1507.429891,1084.903949,2191.337469,,,
2017,Inside,48,1439.905646,1012.602639,2023.08508,,,
2018,Inside,54,1538.718005,1365.226942,2056.377691,,,
2019,Inside,74,1516.044606,1018.080218,2243.705186,,,
2020,Inside,77,1403.317022,1003.187407,2237.12266,,,
1995,Outside,1501,2324.350042,1452.873512,3835.609189,823,-48,2335
1996,Outside,1095,2285.7451,1358.263608,4420.215543,1191,264,3326
1997,Outside,1905,2017.791742,1052.894972,3780.94527,113,-852,1876
1998,Outside,1014,1653.065335,848.1948529,3304.772528,639,-166,2291
1999,Outside,1303,1489.17183,666.8767263,2993.4414,187,-636,1691
2000,Outside,743,1696.681118,760.4371397,3217.710136,954,17,2475
2001,Outside,937,1182.604459,589.9322097,1988.184805,246,-347,1051
2002,Outside,889,1262.602732,728.7660585,1868.778055,374,-160,980
2003,Outside,635,1830.76001,1792.870238,2084.407339,1196,1158,1449
2004,Outside,561,2007.828876,1474.338491,2606.865172,1447,913,2046
2005,Outside,388,2507.580547,2455.31642,2788.95831,2120,2067,2401
2006,Outside,124,2589.966662,2581.444231,2648.24171,2466,2457,2524
2007,Outside,111,2690.233874,2005.197597,3451.521541,2579,1894,3341
2008,Outside,89,3170.739187,3108.648796,3518.194748,3082,3020,3429
2009,Outside,135,2644.7987,2582.023893,3021.173577,2510,2447,2886
2010,Outside,118,2348.833674,2317.101466,2614.259824,2231,2199,2496
2011,Outside,85,1974.327923,1610.030283,2630.115058,1889,1525,2545
2012,Outside,61,2312.460889,2232.683249,2684.419743,2252,2172,2624
2013,Outside,18,2353.866127,2235.877958,2783.321728,2336,2218,2765
2014,Outside,20,2579.821437,1871.569769,3406.18699,2560,1851,3386
2015,Outside,29,2674.631741,2623.413232,2894.38049,2646,2595,2866
2016,Outside,34,2986.739138,2692.540865,3857.772881,2953,2659,3824
2017,Outside,48,3762.837181,3461.176901,4453.501754,3715,3413,4406
2018,Outside,54,4304.497364,4234.34245,4716.707885,4250,4180,4662
2019,Outside,74,4048.975304,3045.950894,5243.789837,3975,2972,5170
2020,Outside,77,3562.43917,3451.082616,4309.080575,3485,3374,4232
