Data,Age,Age2,Pregnancy,Env.Var,Lower,Upper
,0.7,1,0,0,,
GLH,1.7,2,0.084461,0.004125,0.033599658,0.135322655
YNP,2.7,3,0.76052,0.007001,0.567402388,0.884913464
YNP,3.7,4,0.790216,0.056906,0.654509973,0.882210981
YNP,4.7,5,0.81906,0.044479,0.711714146,0.892473715
YNP,5.7,6,0.847472,0.05273,0.750966797,0.911011685
YNP,6.7,7,0.873832,0.017552,0.7874114,0.928319893
YNP,7.7,8,0.8955,0.049405,0.821251677,0.941118866
YNP,8.7,9,0.910534,0.045205,0.845753243,0.949724798
YNP,9.7,10,0.918007,0.048705,0.857154281,0.954318203
YNP,10.7,11,0.917408,0.036179,0.855628319,0.954166923
YNP,11.7,12,0.907721,0.016027,0.841301916,0.948058761
YNP,12.7,13,0.886887,0.055606,0.811678697,0.934484372
YNP,13.7,14,0.852226,0.040104,0.762581079,0.911932313
YNP,14.7,15,0.802186,0.055056,0.693646477,0.878980017
YNP,15.7,16,0.738514,0.009801,0.612239923,0.834765046
YNP,16.7,17,0.666373,0.05313,0.522923992,0.784467579
YNP,17.7,18,0.591405,0.044429,0.418520026,0.744294139
YNP,18.7,19,0.517208,0.050805,0.301561505,0.726629393
YNP,19.7,20,0.444871,0.025778,0.194606902,0.726615405
