ID,Capture Date,CaptureLocation,Easting(capt),Northing(capt),Pregnant,PSPB Value,Lactating @ Capture,ID_old,BirthYear
1,15-Mar-00,Sepulcher,523053,4983907,no,,,1,1984
2,15-Mar-00,Sepulcher,,,yes,,,2,
3,15-Mar-00,Sepulcher,519375,4985750,yes,,,3,1997
4,15-Mar-00,Sepulcher,519600,4987300,yes,,,4,1994
5,15-Mar-00,Sepulcher,,,yes,,,5,1996
6,15-Mar-00,Sepulcher,,,yes,,,6,1991
7,15-Mar-00,Sepulcher,523325,4982797,yes,,,7,1997
8,15-Mar-00,Sepulcher,521273,4985003,yes,,,8,1991
9,15-Mar-00,Sepulcher,520029,4985752,yes,,,9,1990
10,15-Mar-00,Sepulcher,521738,4985757,yes,,,10,1991
11,15-Mar-00,Sepulcher,519502,4985384,yes,,,11,1994
12,15-Mar-00,Sepulcher,523061,4981685,yes,,,12,1993
13,15-Mar-00,Sepulcher,520425,4985009,yes,,,13,1988
14,15-Mar-00,Sepulcher,,,yes,,,14,
15,15-Mar-00,Sepulcher,520520,4984731,yes,,,15,1990
16,15-Mar-00,Sepulcher,519061,4985393,yes,,,16,1992
17,15-Mar-00,Sepulcher,519337,4987805,yes,,,17,1998
18,15-Mar-00,Sepulcher,519241,4985749,yes,,,18,1992
19,15-Mar-00,Sepulcher,,,yes,,,19,1988
20,15-Mar-00,Sepulcher,519598,4985006,yes,,,20,1989
21,16-Mar-00,Hellroaring,543448,4979392,no,,,21,
22,16-Mar-00,Hellroaring,,,n/a,,,22,
23,16-Mar-00,Hellroaring,542654,4980120,yes,,,23,1997
24,16-Mar-00,Mt. Everts,,,yes,,,24,1991
25,16-Mar-00,Hellroaring,,,yes,,,25,1984
26,16-Mar-00,Hellroaring,,,yes,,,26,1988
27,16-Mar-00,Hellroaring,,,yes,,,27,1987
28,16-Mar-00,Hellroaring,542257,4980245,yes,,,28,1995
29,16-Mar-00,Hellroaring,543443,4980125,yes,,,29,1992
30,16-Mar-00,Hellroaring,,,no,,,30,1993
31,16-Mar-00,Hellroaring,542786,4979387,n/a,,,31,1992
32,16-Mar-00,Hellroaring,542122,4980672,yes,,,32,1991
