ID,BirthDate,BirthYear,Capture Date,Collar Type 2,Last Date Alive,Last Date Alive Expl,Last Date Status,MT-COD,MT-COD Certainty
1,1984-06-01,1984,2000-03-15,VHF,2001-02-24,MT DOD,Dead,Wolf,Probable
2,,,2000-03-15,VHF,2008-02-21,Last Live VHF,Live,,
3,1997-06-01,1997,2000-03-15,VHF,2004-01-04,MT DOD,Dead,Harvest,Definite
4,1994-06-01,1994,2000-03-15,VHF,2003-03-21,Midpoint DOD,Dead,Malnutrition,
5,1996-06-01,1996,2000-03-15,VHF,2000-04-12,MT DOD,Dead,Capture,Probable
6,1991-06-01,1991,2000-03-15,VHF,2004-05-10,Midpoint DOD,Dead,Natural-Unknown,Unknown
7,1997-06-01,1997,2000-03-15,VHF,2002-02-03,MT DOD,Dead,Harvest,Definite
8,1991-06-01,1991,2000-03-15,VHF,2002-08-30,MT DOD,Dead,Wolf,Probable
9,1990-06-01,1990,2000-03-15,VHF,2002-02-08,MT DOD,Dead,Harvest,Definite
10,1991-06-01,1991,2000-03-15,VHF,2001-01-29,MT DOD,Dead,Harvest,Definite
11,1994-06-01,1994,2000-03-15,VHF,2001-02-03,MT DOD,Dead,Harvest,Definite
12,1993-06-01,1993,2000-03-15,VHF,2007-02-19,Last Live VHF,Live,,
13,1988-06-01,1988,2000-03-15,VHF,2001-01-07,MT DOD,Dead,Harvest,Definite
14,,,2000-03-15,VHF,2008-04-03,Last Live VHF,Live,,
15,1990-06-01,1990,2000-03-15,VHF,2003-01-03,Last Live VHF,Live,,
16,1992-06-01,1992,2000-03-15,VHF,2002-01-04,MT DOD,Dead,Harvest,Definite
17,1998-06-01,1998,2000-03-15,VHF,2001-01-23,Last Live VHF,Live,,
18,1992-06-01,1992,2000-03-15,VHF,2008-03-30,Last Live VHF,Live,,
19,1988-06-01,1988,2000-03-15,VHF,2007-01-19,MT DOD,Dead,Harvest,Definite
20,1989-06-01,1989,2000-03-15,VHF,2007-08-15,Last Live VHF,Live,,
21,,,2000-03-16,VHF,2007-12-14,Last Live VHF,Live,,
22,,,2000-03-16,VHF,2007-04-23,Midpoint DOD,Dead,Wolf,Possible
23,1997-06-01,1997,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
24,1991-06-01,1991,2000-03-16,VHF,2001-01-13,MT DOD,Dead,Harvest Wound,Probable
25,1984-06-01,1984,2000-03-16,VHF,2002-06-05,MT DOD,Dead,Wolf,Probable
26,1988-06-01,1988,2000-03-16,VHF,2000-09-12,MT DOD,Dead,Wolf,Possible
27,1987-06-01,1987,2000-03-16,VHF,2001-01-22,MT DOD,Dead,Wolf,Definite
28,1995-06-01,1995,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
29,1992-06-01,1992,2000-03-16,VHF,2005-07-27,Last Live VHF,Live,,
30,1993-06-01,1993,2000-03-16,VHF,2008-03-18,Midpoint DOD,Dead,Natural-Unknown,Probable
31,1992-06-01,1992,2000-03-16,VHF,2001-12-25,Midpoint DOD,Dead,Wolf,Probable
32,1991-06-01,1991,2000-03-16,VHF,2003-06-06,MT DOD,Dead,Wolf,Probable
33,1990-06-01,1990,2000-03-16,VHF,2003-03-25,MT DOD,Dead,Wolf,Probable
34,1996-06-01,1996,2000-03-16,VHF,2007-05-16,MT DOD,Dead,Wolf,Probable
35,1991-06-01,1991,2000-03-16,VHF,2003-12-19,MT DOD,Dead,Wolf,Probable
36,1984-06-01,1984,2000-03-16,VHF,2000-04-11,MT DOD,Dead,Wolf,Probable
37,1992-06-01,1992,2000-03-16,VHF,2008-02-21,Last Live VHF,Live,,
38,1985-06-01,1985,2000-03-16,VHF,2000-03-20,MT DOD,Dead,Cougar,Definite
39,1993-06-01,1993,2000-03-16,VHF,2002-02-11,MT DOD,Dead,Harvest,Definite
40,1988-06-01,1988,2000-03-16,VHF,2001-06-21,Midpoint DOD,Dead,Wolf,Possible
41,1984-06-01,1984,2000-03-16,VHF,2001-12-22,Midpoint DOD,Dead,Natural-Unknown,Probable
42,,,2000-03-16,VHF,2003-12-27,MT DOD,Dead,Natural-Unknown,Probable
43,1996-06-01,1996,2000-03-16,VHF,2001-01-05,MT DOD,Dead,Harvest,Definite
44,1994-06-01,1994,2000-03-16,VHF,2003-12-01,MT DOD,Dead,Wolf,Possible
45,1991-06-01,1991,2000-03-16,VHF,2003-06-10,Midpoint DOD,Dead,Natural-Unknown,Unknown
46,1983-06-01,1983,2001-02-06,GPS,2001-02-11,MT DOD,Dead,Unknown,Unknown
47,1984-06-01,1984,2001-02-06,VHF,2001-03-01,MT DOD,Dead,Wolf,Definite
