ID,Date,Local Time,Air/Ground,Pilot,Observer,Drift,Signal Heard,Heard From Location,Elk General Location,Visual?,Easting,Northing,UTM error,Seasonal range,VegType,Regrowth (if app),Behavior,W/Calf?,Group Size,Composition(description),Cows,Calves,Bulls,Spikes,Multiple collars?,Relocation comments,ID_old,IDuncertainty
1,6/21/2000,8:37:00 AM,Air,DC,SE,,,,Panther,Yes,516652,4970034,,summer,"gr, shr",,"bedded, standing",n/a,11,"cow, calf, bull",Yes,Yes,Yes,,,,1,
2,6/21/2000,8:46:00 AM,Air,DC,SE,,,,Panther,Yes,513564,4971333,,summer,df,,bedded,no,17,cows,17,0,0,0,,,2,
3,6/21/2000,9:10:00 AM,Air,DC,SE,,,,W of Griz Lk,Yes,517243,4962266,,summer,df,,bedded,yes,15,"13 cows, 2 calves",13,2,0,,,,3,
4,6/21/2000,9:21:00 AM,Air,DC,SE,,,,Indian Ck,Yes,518039,4968437,,summer,df,,bedded,no,26,cows,26,0,0,,,,4,
6,6/21/2000,11:36:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,524850,4970763,,summer,lp,,standing,no,11,"cow, calf",Yes,Yes,,,,,6,
8,6/21/2000,10:06:00 AM,Air,DC,SE,,,,W of Griz Lk,Yes,516420,4961835,,summer,lp,,bedded,no,7,cows,7,0,0,,,,8,
9,6/21/2000,11:49:00 AM,Air,DC,SE,,,,btw Oxbow & Elk Ck,Yes,541072,4975217,,summer,shr,,walking,no,32,"26 cows, 6 calves",26,6,0,,,,9,
12,6/21/2000,10:20:00 AM,Air,DC,SE,,,,Norris,Yes,522503,4952158,,summer,df,,walking,yes,5,"4 cows, 1 calf",4,1,0,,,,12,
16,6/21/2000,8:19:00 AM,Air,DC,SE,,,,Quadrant,Yes,511746,4973453,,summer,"gr, shr",,"bedded, spooked",yes,22,cows,Yes,,,,,,16,
19,6/21/2000,9:49:00 AM,Air,DC,SE,,,,SE of Quadrant,No,515050,4971992,,summer,df,,unknown,unk,unk,unknown,Yes,,,,,thick Doug fir,19,
20,6/21/2000,8:26:00 AM,Air,DC,SE,,,,Fawn Pass,Yes,508641,4972978,,summer,gr,,bedded,no,1,alone,1,0,0,0,,,20,
24,6/21/2000,8:59:00 AM,Air,DC,SE,,,,E of Obsidian,Yes,524702,4969244,,summer,df,,bedded,no,7,cows,7,0,0,0,,,24,
31,6/21/2000,10:57:00 AM,Air,DC,SE,,,,btw L Buff & Buff Ck,Yes,552816,4979557,,summer,df,,"standing, feeding",no,8,cows,8,0,0,,,,31,
43,6/21/2000,11:21:00 AM,Air,DC,SE,,,,Mt. Everts,Yes,527803,4980804,,summer,"gr, shr, asp",,"standing, spooked, ran",n/a,120,"cow, calf, bull",Yes,Yes,Yes,,,,43,
21,6/22/2000,10:27:00 AM,Air,DC,SE,,,,E fork Amethyst Ck,Yes,559376,4967961,,summer,"gr, shr",,"bedded, spooked",N/A,58,"cow, calf, bull",Yes,Yes,Yes,,,collar is loose,21,
25,6/22/2000,8:34:00 AM,Air,DC,SE,,,,upper Hellroaring,Yes,548756,4998898,,summer,rw,,"standing, grazing, bedded",yes,28,cows,28,0,0,,y3,"w/ 219.820, 219.980; in creek",25,
26,6/22/2000,8:19:00 AM,Air,DC,SE,,,,E fork Hellroaring,Yes,551804,4994685,,summer,df,,"standing, grazing",no,4,cows,4,0,0,,,,26,
