"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"N_calf[1]",1819.218,38.696,1743,1819,1896,1,2287
"N_calf[2]",3714.256,885.783,1663,3774,5211,3.32,16
"N_calf[3]",3276.442,1174.081,994,3214,5559.025,1.09,31
"N_calf[4]",2647.021,687.068,1079,2718,3843,1.13,18
"N_calf[5]",2081.975,402.492,1320,2116,2935,1.34,29
"N_calf[6]",4122.926,388.76,3113,4154,4775,1.15,31
"N_calf[7]",1378.554,489.872,624,1303,2565,1.12,22
"N_calf[8]",2146.144,266.976,1623,2150,2658,1.09,42
"N_calf[9]",3465.767,387.733,2722,3462,4206,1.05,32
"N_calf[10]",2523.427,385.176,1779.975,2551,3218,1.35,30
"N_calf[11]",3131.733,357.228,2450,3168,4004,1.04,26
"N_calf[12]",1677.16,346.046,867,1703,2235,1.55,22
"N_calf[13]",1620.067,263.735,1129,1608,2124,1.43,36
"N_calf[14]",2629.712,382.338,1953,2601,3411,1.35,34
"N_calf[15]",1972.097,295.582,1412,1958,2532,1.19,44
"N_calf[16]",1520.036,363.772,736,1532,2166,1.09,21
"N_calf[17]",1046.451,272.934,550,1061,1556.025,1.41,47
"N_calf[18]",1592.369,202.256,1198,1600,1985,1.2,55
"N_calf[19]",1023.544,268.52,554,1019,1652,1.38,28
"N_calf[20]",1398.208,234.018,964,1393,1876,1.53,36
"N_calf[21]",1269.135,213.05,784,1280,1639,1.2,45
"N_calf[22]",1407.673,205.132,1022,1398,1853,1.14,53
"N_calf[23]",1975.449,225.49,1532,1952,2442,1.1,48
"N_calf[24]",2142.552,229.551,1688,2144,2566,1.17,51
"N_calf[25]",1835.284,286.371,1261,1855,2357,1.05,39
"N_calf[26]",1582.473,281.078,1064,1569,2159,1.01,49
"N_calf[27]",1320.618,489.426,386,1309,2309,1,8779
"N_calf[28]",1156.038,452.338,336,1132,2112,1,23826
"N_calf[29]",995.562,414.994,277,963,1896,1,21471
"N_calf[30]",856.729,375.454,235,818,1694,1,23683
"N_calf[31]",737.796,340.912,192,697,1525,1,25148
"N_oa[1]",556.957,22.961,513,557,602,1,3107
"N_oa[2]",3782.818,1404.028,1617,3634,6154,2.64,10
"N_oa[3]",3539.808,1173.351,1578,3490,5578,2.85,25
"N_oa[4]",3191.726,1044.81,1145,3381,4902,1.89,17
"N_oa[5]",3196.063,734.313,1742,3214,4535,4.89,24
"N_oa[6]",3343.081,561.232,2085.975,3367,4439,1.43,27
"N_oa[7]",3348.437,650.894,2109,3338,4702,1.07,10
"N_oa[8]",3701.736,761.853,2433,3647,5120,3.33,24
"N_oa[9]",3254.67,740.992,1808,3271,4593,2.9,29
"N_oa[10]",3014.434,758.508,1383,3011,4360,3.86,32
"N_oa[11]",2094.62,650.667,951,2018,3787,2.65,18
"N_oa[12]",2784.844,611.113,1789,2753,4049,1.78,13
"N_oa[13]",3420.125,490.424,2386.975,3500,4220,1.79,29
"N_oa[14]",3064.017,698.016,1591,3140,4247,1.96,23
"N_oa[15]",2807.761,784.487,1097,2885,4058,2.82,18
"N_oa[16]",2334.338,757.142,889,2421,3616,2.32,14
"N_oa[17]",2087.022,574.512,969,2246,3047,2.33,27
"N_oa[18]",1909.869,537.752,870,2044,2717,3.57,27
"N_oa[19]",1931.546,573.051,772.975,2060,2788,3.88,29
"N_oa[20]",1897.358,633.235,755.975,2042,2958,4.24,28
"N_oa[21]",1800.647,583.028,759,1895,2693,3.36,25
"N_oa[22]",1828.552,574.956,744,1855,2652,3.59,27
"N_oa[23]",1897.527,619.709,715,2126,2700,3.76,34
"N_oa[24]",1862.338,588.248,780,2057,2787,3.79,34
"N_oa[25]",2346.178,535.663,978,2432,3192,1.47,20
"N_oa[26]",2282.381,482.189,1342,2302,3232.025,1.17,58
"N_oa[27]",2120.599,484.08,1183,2121,3058,1.01,1153
"N_oa[28]",1889.042,471.415,1014,1873,2846.025,1,6890
"N_oa[29]",1645.321,458.184,839,1617,2630,1,9459
"N_oa[30]",1420.457,439.859,679,1380,2401,1,12019
"N_oa[31]",1222.845,415.622,550,1177,2165,1,12561
"N_tot[1]",12096.662,14.415,12065,12097,12128,1,52134
"N_tot[2]",12283.767,14.628,12252,12284,12315,1,63370
"N_tot[3]",10819.464,1494.402,8090,10731,13896,1.14,25
"N_tot[4]",9282.111,14.703,9250,9282,9314,1,48734
"N_tot[5]",8754.996,14.61,8724,8755,8787,1,47399
"N_tot[6]",10473.673,14.709,10442,10474,10505,1,61882
"N_tot[7]",7492.821,14.615,7462,7493,7525,1,37294
"N_tot[8]",8060.777,14.651,8029,8061,8092,1,49397
"N_tot[9]",8699.807,14.65,8668,8700,8731,1,56650
"N_tot[10]",7856.808,14.659,7825,7857,7889,1,53752
"N_tot[11]",7502.463,14.713,7470,7503,7534,1,53223
"N_tot[12]",6527.352,14.679,6496,6527,6560,1,37195
"N_tot[13]",6598.58,14.653,6567,6599,6630,1,41665
"N_tot[14]",6942.678,14.64,6911,6943,6974,1,48614
"N_tot[15]",6004.428,14.638,5972,6005,6036,1,52057
"N_tot[16]",5073.693,14.661,5042,5074,5105,1,39737
"N_tot[17]",4279.255,14.692,4248,4279,4312,1,32797
"N_tot[18]",4494.368,14.651,4462,4494,4526,1,35329
"N_tot[19]",4118.011,14.675,4086,4118,4150,1,30617
